Gender,Grade,GRADENOPG,Entered,InternationalDomestic,Race,FinancialAid,DayBoarding,FreqHome,WindDown,NervousEnergy,OverReact,Relax,Intollerant,Touchy,Agitated,WindDownDASS,NervousEnergyDASS,OverReactDASS,RelaxDASS,IntollerantDASS,TouchyDASS,AgitatedDASS,DassTotal,StressLevel,Sports,SportsLevelFall,SportsWinterLevel,SportsLevelSpring,SportsHoursFall,SportsHoursWinter,SportsHoursSpring,SportsStress,SportsSchoolWork,ArtsBeyond,ArtsConcentration,FallProduction,WinterProduction,SpringMusical,ChamberChorus,FestivalChorus,Orchestra,ChamberOrchestra,JazzBand,WindEnsemble,AcapellaGroups,StudentDirectedScenes,FringeFestival,MusicLessons,ActivityHours,ActivityStress,ArtsPerformanceSchoolWork,ClubParticipation,ClubHours,ClubStress,CompetitiveClubParticipation,CompetitiveClubHours,CompetitiveClubStress,CompetitiveClubSchoolWork,StudentLeaderParticipation,StudentLeaderHours,StudentLeaderStress,FallClasses,WinterClasses,SpringClasses,FallAP,WinterAP,SpringAP,WinterGPA,GradeSatisfaction,ActivityTimeHW,GradedFair ,HWHours,SATCram,SATTutoring,SATStudyGuides,SATPracticeTests,SATNothing,BetterAssignments,ProtectedWeek,PressureGeneral,PressureExpectations,WorryFriends,FamilyComplications,FriendsComplications ,RomanticComplications,AmountSleep,MealsPerDay,DHLunch,DHDinner,NoLunchBlock,NoLunchHomework,NoLunchSports,NoLunchArtscommitment,NoLunchClubMeetings,NoLunchTeachers,NoLunchNA
Female,Freshman,Freshman,Freshman,Domestic,Asian,No,Boarding,once a term,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2 OFTEN,2 OFTEN,0 NEVER,2 OFTEN,1,1,1,2,2,0,2,9,Mild,Yes,Intramural,Not Applicable,Varsity,4-8 hours,4-8 hours,more than 16 hours,often,often,Yes,Arts concentration,,,,,,,chamber orchestra,,,,,,music lessons,4-8 hours,often,sometimes,Yes,less than 4 hours,rarely,No,,,,No,,,Five,Five,Five,0,0,0,3.7-4.0,Neutral,2 hours,neutral,4/6/2013,,regular tutoring/class,,,,motivated to do better,about the same,some pressure,extreme pressure,a few times a week,neutral,neutral,neutral,6 to 8 hours,2 meals,Yes,No,,,Sports,Arts commitment,,,
Female,Junior,Junior,Freshman,Domestic,Black or African American,Yes,Boarding,once a term,3 ALMOST ALWAYS,2 OFTEN,2 OFTEN,3 ALMOST ALWAYS,2 OFTEN,2 OFTEN,3 ALMOST ALWAYS,3,2,2,3,2,2,3,17,Extremely Severe,Yes,Intramural,Not Applicable,Intramural,4-8 hours,Not Applicable,8-12 hours,often,never,Yes,,,,spring musical,,,,,,,,,,,8-12 hours,rarely,never,Yes,8-12 hours,rarely,No,,,,Yes,4-8 hours,rarely,Five,Five,Five,2,2,2,3.7-4.0,Neutral,6 hours,fair,6 or more,,,,,nothing,motivated to do better,more stress,some pressure,extreme pressure,a few times a week,difficult,neutral,difficult,4 to 6 hours,2 meals,Yes,Yes,,Homework,,,Club meetings,,
Male,Senior,Senior,Freshman,Domestic,Asian,No,Boarding,once a week,2 OFTEN,1 SOMETIMES,1 SOMETIMES,3 ALMOST ALWAYS,2 OFTEN,1 SOMETIMES,2 OFTEN,2,1,1,3,2,1,2,12,Moderate,Yes,Intramural,Varsity,Varsity,12-16 hours,12-16 hours,more than 16 hours,often,always,No,,,,,,,,,,,,,,,,,,Yes,4-8 hours,rarely,No,,,,Yes,4-8 hours,rarely,Five,Five,Five,4,4,3,3.7-4.0,Happy,4 hours,neutral,4/6/2013,cram the night before,regular tutoring/class,,,,indifferent,much more stress,extreme pressure,extreme pressure,A few times a day,very difficult,easy,difficult,4 to 6 hours,3 meals,No,No,,Homework,Sports,,Club meetings,,
Female,Freshman,Freshman,Freshman,Domestic,White,No,Boarding,once a month,3 ALMOST ALWAYS,2 OFTEN,1 SOMETIMES,3 ALMOST ALWAYS,3 ALMOST ALWAYS,2 OFTEN,2 OFTEN,3,2,1,3,3,2,2,16,Severe,Yes,Intramural,Thirds,Junior Varsity,4-8 hours,12-16 hours,12-16 hours,often,often,No,,,,,,,,,,,,,,,,,,No,,,No,,,,No,,,Five,Five,Five,1,1,1,3.0-3.3,Unhappy,3 hours,unfair,2/4/2013,,,,regular practice tests,,Sad,much more stress,some pressure,extreme pressure,once a day,difficult,neutral,very easy,4 to 6 hours,2 meals,Yes,Yes,,Homework,Sports,,,Meetings with teachers,
Male,Junior,Junior,Freshman,Domestic,White,No,Boarding,once a month,0 NEVER,2 OFTEN,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,0,2,1,1,1,1,1,7,Normal,Yes,Intramural,Intramural,Intramural,4-8 hours,4-8 hours,4-8 hours,none,never,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,none,No,,,,Yes,less than 4 hours,none,Five,Five,Six,3,3,4,3.5-3.7,Happy,more than 6 hours,fair,4/6/2013,,regular tutoring/class,,regular practice tests,,indifferent,about the same,no pressure,extreme pressure,a few times a week,easy,difficult,neutral,4 to 6 hours,2 meals,No,Yes,No Lunch Block,,,Arts commitment,,,
Female,Sophomore,Sophomore,Freshman,Domestic,Other,No,Boarding,once a term,1 SOMETIMES,0 NEVER,0 NEVER,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,1,0,0,1,2,1,1,6,Normal,Yes,Intramural,Intramural,Thirds,4-8 hours,4-8 hours,4-8 hours,rarely,sometimes,Yes,Arts concentration,,,,,,,,,,,,,,less than 4 hours,rarely,sometimes,Yes,less than 4 hours,often,No,,,,No,,,Five,Six,Six,4,4,4,3.7-4.0,Happy,4 hours,fair,4/6/2013,,,"regular use of a study guide/prep book (Barron's, Princeton Review)",,,indifferent,much more stress,extreme pressure,extreme pressure,A few times a day,difficult,difficult,neutral,6 to 8 hours,3 meals,Yes,Yes,,Homework,Sports,Arts commitment,,,
Male,Junior,Junior,Freshman,International,Asian,No,Boarding,once a term,2 OFTEN,2 OFTEN,0 NEVER,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2,2,0,1,1,1,1,8,Mild,Yes,Intramural,Intramural,Junior Varsity,4-8 hours,4-8 hours,12-16 hours,often,sometimes,No,,,,,,,,,,,,,,,,,,Yes,4-8 hours,often,No,,,,No,,,Six,Six,Six,5,5,6,3.0-3.3,Extremely Unhappy,3 hours,fair,6 or more,,,,,nothing,Sad,about the same,no pressure,extreme pressure,a few times a week,very easy,easy,neutral,less then 4 hours,1 meal,No,Yes,,Homework,Sports,,Club meetings,,
Male,Senior,Senior,Freshman,International,Asian,No,Boarding,once a month,2 OFTEN,2 OFTEN,2 OFTEN,3 ALMOST ALWAYS,3 ALMOST ALWAYS,2 OFTEN,3 ALMOST ALWAYS,2,2,2,3,3,2,3,17,Extremely Severe,Yes,Intramural,Intramural,Intramural,8-12 hours,8-12 hours,12-16 hours,often,often,No,,,,,,,,,,,,,,,,,,No,,,Yes,less than 4 hours,never,never,No,,,Five,Five,Five,3,3,2,3.7-4.0,Neutral,5 hours,neutral,2/4/2013,,,"regular use of a study guide/prep book (Barron's, Princeton Review)",regular practice tests,,Sad,about the same,some pressure,extreme pressure,once a week,easy,easy,very difficult,4 to 6 hours,2 meals,Yes,Yes,,,,,,,Not Applicable
Male,Junior,Junior,Sophomore,Domestic,White,No,Boarding,once a month,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1,1,1,2,1,1,1,8,Mild,Yes,Intramural,Junior Varsity,Junior Varsity,8-12 hours,8-12 hours,12-16 hours,often,sometimes,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,rarely,No,,,,Yes,less than 4 hours,rarely,Five,Six,Five,4,4,4,3.5-3.7,Happy,more than 6 hours,fair,4/6/2013,,regular tutoring/class,"regular use of a study guide/prep book (Barron's, Princeton Review)",regular practice tests,,motivated to do better,about the same,some pressure,extreme pressure,almost never,difficult,easy,neutral,6 to 8 hours,3 meals,Yes,Yes,,Homework,Sports,,Club meetings,,
Female,Sophomore,Sophomore,Sophomore,Domestic,Other,Yes,Boarding,once a month,2 OFTEN,1 SOMETIMES,3 ALMOST ALWAYS,3 ALMOST ALWAYS,3 ALMOST ALWAYS,2 OFTEN,3 ALMOST ALWAYS,2,1,3,3,3,2,3,17,Extremely Severe,Yes,Intramural,Intramural,Thirds,4-8 hours,4-8 hours,8-12 hours,often,sometimes,No,,,,,,,,,,,,,,,,,,Yes,4-8 hours,rarely,No,,,,Yes,less than 4 hours,none,Five,Six,Five,3,4,3,3.7-4.0,Happy,3 hours,fair,4/6/2013,,,,,nothing,Sad,much more stress,some pressure,extreme pressure,once a week,neutral,neutral,neutral,4 to 6 hours,3 meals,Yes,Yes,,Homework,,,Club meetings,Meetings with teachers,
Male,Sophomore,Sophomore,Freshman,Domestic,White,No,Day,,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,2 OFTEN,2 OFTEN,2 OFTEN,1,2,1,1,2,2,2,11,Moderate,Yes,Intramural,Junior Varsity,Varsity,4-8 hours,8-12 hours,12-16 hours,none,often,No,,,,,,,,,,,,,,,,,,No,,,No,,,,No,,,Five,Five,Five,3,3,2,3.7-4.0,Happy,4 hours,neutral,4/6/2013,,,,,nothing,motivated to do better,much more stress,some pressure,extreme pressure,A few times a day,neutral,easy,easy,4 to 6 hours,3 meals,Yes,Yes,,,Sports,,,,
Female,Freshman,Freshman,Freshman,Domestic,Asian,Yes,Boarding,once a term,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,1,1,2,1,2,1,1,9,Mild,Yes,Intramural,Intramural,Thirds,4-8 hours,4-8 hours,8-12 hours,rarely,sometimes,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,rarely,No,,,,No,,,Five,Five,Five,1,1,1,3.5-3.7,Happy,4 hours,fair,4/6/2013,,,,,nothing,motivated to do better,more stress,some pressure,extreme pressure,once a day,very easy,very easy,neutral,6 to 8 hours,3 meals,Yes,Yes,,Homework,Sports,,,,
Male,Junior,Junior,Sophomore,Domestic,White,No,Boarding,once a month,2 OFTEN,0 NEVER,1 SOMETIMES,3 ALMOST ALWAYS,2 OFTEN,1 SOMETIMES,2 OFTEN,2,0,1,3,2,1,2,11,Moderate,Yes,Intramural,Varsity,Varsity,4-8 hours,8-12 hours,8-12 hours,rarely,sometimes,No,,,,,,,,,,,,,,,,,,No,,,No,,,,Yes,4-8 hours,none,Five,Five,Five,,,1,3.0-3.3,Happy,3 hours,fair,2/4/2013,,regular tutoring/class,,,,happy for others,about the same,some pressure,extreme pressure,A few times a day,very easy,easy,easy,6 to 8 hours,2 meals,No,No,,Homework,Sports,,,,
Female,Freshman,Freshman,Freshman,Domestic,Other,Yes,Boarding,once a term,0 NEVER,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1 SOMETIMES,0,1,2,1,1,2,1,8,Mild,Yes,Intramural,Intramural,Intramural,4-8 hours,4-8 hours,4-8 hours,none,sometimes,Yes,,,winter production,,,,,,,,,,,music lessons,less than 4 hours,never,never,Yes,less than 4 hours,none,No,,,,No,,,Five,Five,Five,1,1,1,3.5-3.7,Extremely Unhappy,3 hours,unfair,2/4/2013,,regular tutoring/class,"regular use of a study guide/prep book (Barron's, Princeton Review)",regular practice tests,,Sad,about the same,no pressure,extreme pressure,once a day,very easy,very easy,difficult,6 to 8 hours,3 meals,No,Yes,No Lunch Block,,,,,,
Female,Sophomore,Sophomore,Freshman,International,Black or African American,No,Boarding,once a month,1 SOMETIMES,1 SOMETIMES,2 OFTEN,2 OFTEN,2 OFTEN,2 OFTEN,3 ALMOST ALWAYS,1,1,2,2,2,2,3,13,Severe,Yes,Intramural,Varsity,Varsity,12-16 hours,more than 16 hours,more than 16 hours,often,always,Yes,,,,,,,orchestra,,,,,,,music lessons,less than 4 hours,rarely,often,Yes,less than 4 hours,rarely,No,,,,Yes,Not Applicable,rarely,Five,Five,Five,1,1,,3.0-3.3,Extremely Unhappy,2 hours,unfair,4/6/2013,,,,,nothing,Sad,much more stress,some pressure,extreme pressure,once a week,very easy,neutral,difficult,6 to 8 hours,3 meals,Yes,Yes,,,Sports,,Club meetings,,
Female,Sophomore,Sophomore,Freshman,Domestic,Asian,Yes,Day,,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1,1,2,1,1,1,2,9,Mild,Yes,Intramural,Intramural,Intramural,less than 4 hours,4-8 hours,4-8 hours,consistently,often,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,rarely,Yes,less than 4 hours,rarely,rarely,No,,,Six,Five,Six,1,1,2,3.7-4.0,Happy,4 hours,unfair,6 or more,,,,,nothing,motivated to do better,much more stress,some pressure,extreme pressure,A few times a day,very easy,easy,neutral,4 to 6 hours,4 meals,No,Yes,No Lunch Block,Homework,,,,Meetings with teachers,
Male,Freshman,Freshman,Freshman,Domestic,Other,No,Day,,0 NEVER,0 NEVER,0 NEVER,0 NEVER,0 NEVER,0 NEVER,0 NEVER,0,0,0,0,0,0,0,0,Normal,Yes,Intramural,Thirds,Junior Varsity,less than 4 hours,8-12 hours,12-16 hours,rarely,sometimes,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,rarely,Yes,less than 4 hours,never,rarely,No,,,Five,Five,Five,1,1,1,Above 4.0,Happy,3 hours,fair,2/4/2013,,,,,nothing,motivated to do better,much less stress,extreme pressure,extreme pressure,a few times a week,neutral,easy,neutral,6 to 8 hours,3 meals,Yes,Yes,,Homework,Sports,Arts commitment,Club meetings,,
Male,Junior,Junior,Freshman,Domestic,White,No,Boarding,once a term,2 OFTEN,2 OFTEN,2 OFTEN,0 NEVER,2 OFTEN,2 OFTEN,2 OFTEN,2,2,2,0,2,2,2,12,Moderate,Yes,Intramural,Junior Varsity,Varsity,4-8 hours,8-12 hours,12-16 hours,none,never,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,none,No,,,,No,,,Five,Five,Five,1,1,1,3.0-3.3,Neutral,3 hours,unfair,2/4/2013,,,"regular use of a study guide/prep book (Barron's, Princeton Review)",,,indifferent,much more stress,extreme pressure,extreme pressure,once a day,very difficult,very easy,easy,4 to 6 hours,3 meals,Yes,No,,Homework,Sports,,,,
Male,Senior,Senior,Freshman,International,Asian,No,Boarding,once a term,1 SOMETIMES,0 NEVER,0 NEVER,1 SOMETIMES,1 SOMETIMES,0 NEVER,2 OFTEN,1,0,0,1,1,0,2,5,Normal,Yes,Intramural,Intramural,Varsity,4-8 hours,4-8 hours,more than 16 hours,rarely,always,Yes,,,,,,,orchestra,,jazz band,,,,,,less than 4 hours,never,never,Yes,12-16 hours,often,No,,,,No,,,Five,Five,Five,2,2,0,3.0-3.3,Unhappy,4 hours,unfair,6 or more,,regular tutoring/class,"regular use of a study guide/prep book (Barron's, Princeton Review)",,,motivated to do better,much more stress,some pressure,no pressure,almost never,easy,easy,neutral,6 to 8 hours,more than 4 meals,Yes,Yes,,Homework,,,,,
Male,Junior,Junior,Freshman,Domestic,Black or African American,No,Boarding,once a term,2 OFTEN,2 OFTEN,2 OFTEN,2 OFTEN,2 OFTEN,0 NEVER,3 ALMOST ALWAYS,2,2,2,2,2,0,3,13,Severe,Yes,Intramural,Intramural,Varsity,4-8 hours,less than 4 hours,more than 16 hours,rarely,often,Yes,,,,,,,orchestra,chamber orchestra,,,,,,,less than 4 hours,rarely,never,Yes,less than 4 hours,rarely,No,,,,Yes,less than 4 hours,rarely,Five,Five,Five,0,1,1,3.3-3.5,Unhappy,3 hours,neutral,2/4/2013,,regular tutoring/class,,,,indifferent,about the same,extreme pressure,some pressure,a few times a week,difficult,neutral,easy,6 to 8 hours,3 meals,Yes,Yes,,,,,,,Not Applicable
Male,Senior,Senior,Junior,International,White,Yes,Boarding,once a term,0 NEVER,2 OFTEN,2 OFTEN,2 OFTEN,2 OFTEN,2 OFTEN,2 OFTEN,0,2,2,2,2,2,2,12,Moderate,Yes,Intramural,Varsity,Varsity,4-8 hours,8-12 hours,8-12 hours,often,often,No,,,,,,,,,,,,,,,,,,No,,,No,,,,No,,,Five,Five,Five,1,1,0,3.5-3.7,Happy,4 hours,fair,4/6/2013,cram the night before,,,,,indifferent,about the same,some pressure,some pressure,a few times a week,neutral,neutral,neutral,6 to 8 hours,3 meals,Yes,Yes,,,,,,,Not Applicable
Male,Freshman,Freshman,Freshman,Domestic,Black or African American,No,Boarding,once a month,2 OFTEN,2 OFTEN,1 SOMETIMES,2 OFTEN,1 SOMETIMES,1 SOMETIMES,2 OFTEN,2,2,1,2,1,1,2,11,Moderate,Yes,Intramural,Intramural,Thirds,less than 4 hours,less than 4 hours,4-8 hours,none,sometimes,No,,,,,,,,,,,,,,,,,,No,,,No,,,,No,,,Five,Five,Five,1,1,1,3.0-3.3,Unhappy,3 hours,neutral,4/6/2013,,,,,nothing,indifferent,less stress,some pressure,some pressure,a few times a week,very easy,easy,neutral,6 to 8 hours,3 meals,No,Yes,,Homework,,,,Meetings with teachers,
Male,Sophomore,Sophomore,Freshman,Domestic,White,No,Day,,2 OFTEN,1 SOMETIMES,2 OFTEN,2 OFTEN,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2,1,2,2,1,1,1,10,Moderate,Yes,Intramural,Thirds,Junior Varsity,4-8 hours,8-12 hours,8-12 hours,rarely,sometimes,No,,,,,,,,,,,,,,,,,,No,,,No,,,,No,,,Six,Five,Five,1,1,1,3.7-4.0,Happy,2 hours,fair,Under 2,,,,,nothing,indifferent,much more stress,no pressure,some pressure,a few times a week,easy,easy,very difficult,4 to 6 hours,2 meals,Yes,Yes,,Homework,,,,,
Female,Senior,Senior,Freshman,Domestic,White,Yes,Day,,1 SOMETIMES,0 NEVER,1 SOMETIMES,0 NEVER,2 OFTEN,0 NEVER,0 NEVER,1,0,1,0,2,0,0,4,Normal,Yes,Intramural,Varsity,Intramural,4-8 hours,more than 16 hours,4-8 hours,rarely,sometimes,No,,,,,,,,,,,,,,,,,,No,,,No,,,,Yes,less than 4 hours,none,Five,Five,Five,3,3,2,3.5-3.7,Extremely Happy,3 hours,fair,Under 2,cram the night before,,,,,indifferent,much more stress,some pressure,some pressure,a few times a week,neutral,very easy,very easy,6 to 8 hours,3 meals,Yes,Yes,,,,,,,Not Applicable
