"","X","State","Age","Female","RaceWhite","Edu","College4Degree","MaritalStatus","LivingSituation","NumFinDepChildren","FourMoreFinDepChild","Incomecat","Income150K","IncomeApprox","Military","SpouseEmployment","SpouseMilitary","Employment","MostKnowledgeable","KnowledgeableBin","FinSat","RiskTaking","SpendingIncome","NegativeSavingBin","PositiveSavingBin","HandMouth","FinDifficulty","DifficultyBin","EmergencyFund","KidsCollege","FiguredRetirement","DropIncome","ComeUp2K","ComeUp2KBin","BudgetTimePeriod","BudgetBin","CreditRecord","RetirementWorry","LongTermPlan","CheckingAcctBin","SavingAcctBin","CheckingOverdrawBin","UsePrepaidCard","EmployerRetire","OtherRetire","HaveAnyRetire","RetireLoan","RetireHardshipWithdraw","FinInv","LaborIncomeBin","BusinessIncomeBin","OwnHome","HomeDownPmt","RetireContribute","MortgageBin","EquityLoanBin","HomeUnderWater","LateMortgage","NumCreditCards","PaidCreditCardFull","CreditCardCarry","CreditCardMinPmt","CreditCardLatePenalty","CreditCardOverLimit","CreditCardCashAdv","AutoLoanBin","UnpaidMedical","StudentLoans","FederalStudentLoans","PrivateStudentLoans","StudentLoanFigurePmts","CompleteEdu","StudentLoanLate","StudentLoanConcern","StudentLoanDoOver","DebtCollect","TooMuchDebt","TooMuchDebtBin","GoodFinance","GoodFinanceBin","GoodMath","GoodMathBin","FinancialKnow","FinancialKnowBin","FinEdu","ParentFinEdu","AnyFinEdu","QuestionM6","QuestionM6Correct","QuestionM7","QuestionM7Correct","QuestionM8","QuestionM8Correct","QuestionM9","QuestionM9Correct","QuestionM10","QuestionM10Correct","QuestionM31","QuestionM31Correct","QuizScore"
"8845",4971,"LA","Age 25-34",0,0,"Graduate degree",1,"Married","With Parnter/Spouse",0,0,"At least $15,000 but less than $25,000",0,20000,0,"Unemployed",0,"Not in Labor Force","Self",1,6,6,"Spending equal to income",0,0,1,"Not at all difficult",0,0,NA,0,0,"Confident no",0,NA,0,"About Average",4,4,1,0,0,"Never",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"2-3",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,4,0,4,0,5,1,0,0,0,"Don't know",0,"Don't know",0,"Don't know",0,"Don't know",0,"Don't Know",0,"Don't know",0,0
"3080",23466,"NJ","Age 25-34",0,1,"Some college with no degree",0,"Single","With Parnter/Spouse",0,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",NA,"Full-time","Self and more",1,10,NA,NA,NA,NA,NA,"Somewhat difficult",1,0,NA,1,0,"Probably no",0,"Next year",0,"Good",5,5,1,0,1,"Never",1,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,"1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,4,0,7,1,5,1,NA,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,5
"8119",23858,"SD","Age 35-44",1,1,"Some college with no degree",0,"Single","With Parnter/Spouse",2,0,"At least $35,000 but less than $50,000",0,42500,0,"Full-time",NA,"Self employed","Self",1,4,6,"Spending equal to income",0,0,1,"Not at all difficult",0,1,0,0,1,"Confidence yes",1,"Next few months",1,"About Average",7,7,1,1,0,"Frequently",0,0,0,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,"More than once",0,"Different actions",0,7,1,7,1,5,1,4,0,0,0,0,"*More*",1,"Don't know",0,"No relationship",0,"*True*",1,"Don't Know",0,"Less than 2 yrs",0,2
"9255",1361,"AR","Age 45-54",1,1,"Some college with no degree",0,"Married","With Parnter/Spouse",2,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Self employed","Self",1,2,2,"Spending equal to income",0,0,1,"Not at all difficult",0,0,0,1,1,"Probably no",0,"Next 5-10 years",0,"About Average",3,1,1,0,0,"Never",0,0,0,NA,NA,0,1,0,1,3,NA,1,0,1,"Never","1",0,1,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,4,0,5,1,4,0,4,0,0,0,0,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"Don't know",0,3
"2830",13900,"MI","Age 25-34",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",1,0,"At least $35,000 but less than $50,000",0,42500,0,"Full-time",0,"Not in Labor Force","Self and more",1,8,7,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,0,0,0,"Probably no",0,"Next few months",0,"About Average",5,5,1,1,0,"Never",1,0,1,1,0,0,1,0,0,NA,1,NA,NA,NA,NA,"1",0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,6,1,7,1,7,1,7,1,0,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,4
"3369",22019,"OK","Age 65+",1,1,"Some college with no degree",0,"Divorced","Alone",0,0,"Less than $15,000",0,7500,0,NA,NA,NA,NA,NA,4,2,"Spending less than income",0,1,0,"Not at all difficult",0,NA,NA,NA,0,"Confidence yes",1,"Next 10+ years",1,"Good",5,5,1,1,0,"Never",0,1,1,0,0,1,0,0,1,NA,0,0,0,NA,NA,"1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,5,1,6,1,5,1,0,0,0,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,5
"9154",10186,"NJ","Age 55-64",0,1,"High school graduate or equivalent",0,"Widowed","Alone",0,0,"At least $15,000 but less than $25,000",0,20000,0,NA,NA,"Full-time",NA,NA,7,4,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next year",1,"Very bad",4,7,1,0,0,"Never",0,1,1,0,0,1,0,0,0,NA,0,NA,NA,NA,NA,"2-3",0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,7,1,7,1,6,1,0,1,1,"Don't know",0,"More",0,"Stay same",0,"*True*",1,"True",0,"Less than 2 yrs",0,1
"7518",26245,"OR","Age 65+",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",1,0,"At least $35,000 but less than $50,000",0,42500,0,NA,0,"Not in Labor Force","Self",1,4,4,"Spending more than income",1,0,0,"Somewhat difficult",1,1,0,NA,1,"Probably yes",1,"Next few months",1,"Very good",6,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,6,1,0,0,0,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 10 yrs",0,5
"7539",8395,"HI","Age 65+",0,1,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",0,0,"At least $75,000 but less than $100,000",0,87500,1,"Full-time",0,NA,"Self and more",1,8,7,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,NA,0,"Confidence yes",1,"Next few years",0,"Very good",3,5,1,1,0,"Never",1,1,1,0,0,1,1,0,1,NA,1,0,1,1,NA,"4-8",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,6,1,6,1,6,1,1,0,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,6
"9623",9147,"NC","Age 55-64",0,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $75,000 but less than $100,000",0,87500,0,NA,0,"Part-time","Self",1,9,5,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,NA,0,"Good",1,7,1,1,0,"Never",1,0,1,NA,NA,0,1,0,1,NA,NA,1,1,0,"Never","4-8",0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,7,1,7,1,5,1,0,0,0,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,6
"4800",22994,"HI","Age 65+",1,1,"Some college with no degree",0,"Divorced","With Roommates",0,0,"At least $35,000 but less than $50,000",0,42500,0,NA,NA,NA,NA,NA,1,6,"Spending more than income",1,0,0,"Somewhat difficult",1,0,NA,NA,0,NA,NA,"Next few years",0,"Bad",7,4,1,0,1,"Never",0,0,0,NA,NA,0,0,0,1,NA,NA,1,1,NA,"Never","2-3",0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,7,1,5,1,1,0,4,0,0,0,0,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"At least 10 yrs",0,4
"5689",13331,"HI","Age 65+",1,1,"Graduate degree",1,"Married","With Parnter/Spouse",1,0,"At least $75,000 but less than $100,000",0,87500,0,NA,1,"Part-time","Self and more",1,NA,NA,"Spending less than income",0,1,0,NA,NA,NA,0,1,NA,NA,NA,"Next 10+ years",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7,1,1,0,7,1,NA,1,1,"*More*",1,"*Less*",1,"No relationship",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"3239",10645,"MS","Age 55-64",0,0,"Did not complete high school",0,"Separated","Alone",3,0,"Less than $15,000",0,7500,NA,NA,NA,"Not in Labor Force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,4,5,NA,0,NA,"Sometimes",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,6,1,7,1,NA,NA,NA,0,NA,"Same",0,"Don't know",0,"Don't know",0,"Don't know",0,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,1
"5980",17537,"TN","Age 35-44",1,1,"Some college with no degree",0,"Divorced","Alone",4,1,"At least $50,000 but less than $75,000",0,62500,0,NA,NA,"Full-time",NA,NA,7,7,"Spending less than income",0,1,0,"Not at all difficult",0,1,1,1,0,"Probably yes",1,"Next 10+ years",1,"Very good",4,7,1,1,0,"Never",1,0,1,0,0,0,1,0,0,NA,1,NA,NA,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,6,1,0,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,4
"429",2856,"NY","Age 45-54",1,0,"Associate's or other two year degree",0,"Single","With Parnter/Spouse",1,0,"At least $25,000 but less than $35,000",0,30000,0,"Full-time",NA,"Self employed","Someone else",0,10,1,"Spending equal to income",0,0,1,"Very difficult",1,0,0,0,1,"Confident no",0,"Next 10+ years",0,"Bad",7,1,1,0,0,"Sometimes",0,0,0,NA,NA,0,1,1,1,NA,NA,1,0,1,"More than once","0",NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,7,1,4,0,7,1,4,0,0,1,1,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,4
"7209",18424,"SC","Age 65+",1,1,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",0,0,"At least $50,000 but less than $75,000",0,62500,0,NA,0,NA,"Self and more",1,8,1,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,NA,0,"Confidence yes",1,"Next few years",1,"Very good",2,7,1,1,0,"Never",1,0,1,NA,NA,1,1,0,1,12,NA,0,0,NA,NA,"4-8",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,6,1,0,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"2915",21041,"TN","Age 65+",0,1,"Baccalaureate degree",1,"Single","With Roommates",0,0,"At least $15,000 but less than $25,000",0,20000,1,NA,NA,NA,NA,NA,5,1,"Spending more than income",1,0,0,"Very difficult",1,0,NA,NA,0,"Confident no",0,"Next few months",0,"Very bad",7,4,1,0,0,"Never",0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,4,0,7,1,7,1,7,1,1,0,1,"Same",0,"*Less*",1,"Stay same",0,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,3
"624",19907,"IN","Age 25-34",1,1,"High school graduate or equivalent",0,"Separated","With Parents",1,0,"Less than $15,000",0,7500,0,NA,NA,"Unemployed",NA,NA,1,1,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,0,0,0,"Confident no",0,"Next year",1,"Bad",5,4,0,0,NA,"Frequently",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,5,1,5,1,5,1,4,0,0,1,1,"*More*",1,"Don't know",0,"Rise",0,"*True*",1,"Don't Know",0,"Don't know",0,2
"9814",19571,"OR","Age 35-44",0,1,"Graduate degree",1,"Married","With Parnter/Spouse",1,0,"At least $75,000 but less than $100,000",0,87500,0,"Not in Labor Force",0,"Full-time","Self",1,10,10,"Spending less than income",0,1,0,"Not at all difficult",0,1,1,1,0,"Confidence yes",1,"Next 5-10 years",1,"Very good",6,7,1,1,0,"Sometimes",1,0,1,NA,NA,0,1,0,1,NA,NA,0,0,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,5,1,6,1,0,0,0,"*More*",1,"More",0,"No relationship",0,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,3
"3141",10458,"NY","Age 18-25",0,0,"Some college with no degree",0,"Single","Alone",0,0,"At least $75,000 but less than $100,000",0,87500,0,NA,NA,"Not in Labor Force",NA,NA,6,6,"Spending less than income",0,1,0,"Not at all difficult",0,NA,NA,1,0,"Probably yes",1,"Next few years",1,"Very good",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,1,0,NA,"More than once","2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,1,5,1,6,1,0,NA,NA,"Don't know",0,"*Less*",1,"Stay same",0,"Don't know",0,"True",0,"At least 10 yrs",0,1
"2585",13720,"SC","Age 35-44",0,0,"Did not complete high school",0,"Single","With Parnter/Spouse",3,0,"Less than $15,000",0,7500,0,"Not in Labor Force",NA,"Unemployed","Self and more",1,1,2,"Spending more than income",1,0,0,"Very difficult",1,0,0,0,1,"Probably no",0,"Next few months",0,"Very bad",1,2,1,1,0,"Frequently",0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"1",0,1,0,1,0,1,0,1,1,1,0,0,NA,"More than once",0,"Same actions",0,7,1,5,1,5,1,6,1,0,1,1,"*More*",1,"More",0,"*Fall*",1,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"6144",26617,"NM","Age 45-54",1,1,"Some college with no degree",0,"Married","With Parnter/Spouse",1,0,"At least $50,000 but less than $75,000",0,62500,0,NA,0,"Not in Labor Force","Self",1,4,2,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,0,NA,0,"Probably yes",1,"Next 5-10 years",1,"About Average",7,1,1,0,0,"Never",0,0,0,NA,NA,0,0,0,1,NA,NA,1,0,0,"Never","2-3",1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5,1,6,1,5,1,5,1,0,0,0,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,4
"1808",22030,"UT","Age 35-44",1,1,"Some college with no degree",0,"Married","With Parnter/Spouse",0,0,"At least $75,000 but less than $100,000",0,87500,0,"Full-time",0,"Full-time","Someone else",0,9,9,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next 10+ years",1,"Very good",5,6,1,1,0,"Never",1,0,1,0,0,1,1,1,1,20,0,1,0,0,"Never","2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,4,0,5,1,0,1,1,"*More*",1,"Don't know",0,"*Fall*",1,"False",0,"Don't Know",0,"At least 10 yrs",0,2
"8412",18902,"CA","Age 65+",0,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $100,000 but less than $150,000",0,125000,0,NA,0,NA,"Self",1,7,8,"Spending more than income",1,0,0,"Somewhat difficult",1,1,NA,NA,1,"Confidence yes",1,"Next 5-10 years",1,"Very good",5,7,1,1,0,"Never",1,1,1,0,0,1,1,0,1,NA,0,0,0,NA,NA,"4-8",0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,7,1,7,1,7,1,0,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"7899",13433,"CA","Age 65+",1,0,"Some college with no degree",0,"Widowed","With Roommates",3,0,"At least $35,000 but less than $50,000",0,42500,0,NA,NA,NA,NA,NA,5,2,"Spending less than income",0,1,0,"Somewhat difficult",1,0,1,NA,1,"Probably yes",1,"Next few months",1,"About Average",4,4,1,1,0,"Sometimes",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,6,1,6,1,5,1,1,1,1,"*More*",1,"*Less*",1,"No relationship",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"1516",23762,"VA","Age 45-54",1,0,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Part-time","Self and more",1,6,6,"Spending more than income",1,0,0,"Somewhat difficult",1,0,NA,1,1,"Probably yes",1,NA,1,"Very good",7,5,1,1,NA,"Never",1,0,1,0,0,0,1,1,1,NA,1,1,1,0,"More than once","4-8",0,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,7,1,6,1,7,1,7,1,0,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"1547",13921,"LA","Age 18-25",0,1,"High school graduate or equivalent",0,"Single","With Parents",0,0,"Less than $15,000",0,7500,0,NA,NA,"Unemployed",NA,NA,5,3,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,NA,0,1,"Probably no",0,"Next few years",0,"Good",4,4,1,1,0,"Never",0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,6,1,1,0,5,1,0,1,1,"*More*",1,"Don't know",0,"Don't know",0,"False",0,"True",0,"Don't know",0,1
