Company,Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Domincan Republic
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Domincan Republic
Hogarth,Conacado,1712,2016,75%,New Zealand,3.25,Trinitario,Domincan Republic
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
Soma,"Elvesia P., Black Science",682,2011,70%,Canada,3.75,Forastero,Dominican Republic
Soma,Hispaniola,377,2009,70%,Canada,3,Forastero,Dominican Republic
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3,Trinitario,Dominican Republic
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic
Kiskadee,"La Red, Guanconjeco",1251,2014,60%,U.S.A.,3,Trinitario,Dominican Republic
Nibble,Elvesia P.,1526,2015,72%,U.S.A.,2.75,Trinitario,Dominican Republic
Soma,"Rizek Cacao, Domin. Rep.",1019,2013,77%,Canada,3.75,Trinitario,Dominican Republic
Soma,Conacado,387,2009,70%,Canada,3,Trinitario,Dominican Republic
Wellington Chocolate Factory,Conacado,1756,2016,70%,New Zealand,3.5,Trinitario,Dominican Republic
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70%,Australia,4,Criollo,Ecuador
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55%,Ecuador,2.75,Trinitario,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3,Trinitario,Ecuador
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador
Nuance,"Ecuador, 2013",1458,2015,70%,U.S.A.,2.75,Trinitario,Ecuador
organicfair,Mindo,1165,2013,72%,Canada,3,Trinitario,Ecuador
Pralus,Equateur,40,2006,75%,France,3,Trinitario,Ecuador
Shark Mountain,Ecuador,1335,2014,75%,U.S.A.,3,Trinitario,Ecuador
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67%,Australia,3.25,Trinitario,Fiji
Pitch Dark,Namau Village,1315,2014,73%,U.S.A.,2.5,Trinitario,Fiji
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana
Raw Cocoa,Raw,867,2012,70%,Poland,2.5,Criollo, 
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana
Davis,Ghana,1093,2013,70%,U.S.A.,2.5,Forastero,Ghana
Dean and Deluca (Belcolade),Ghana,175,2007,60%,U.S.A.,3,Forastero,Ghana
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4,Forastero,Ghana
Guido Castagna,Ghana,355,2009,64%,Italy,3,Forastero,Ghana
La Maison du Chocolat (Valrhona),Akosombo,346,2009,68%,France,3.25,Forastero,Ghana
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70%,Poland,3.5,Forastero,Ghana
Mars,"Ghana, prototype",544,2010,65%,U.S.A.,3.5,Forastero,Ghana
Nathan Miller,Ghana,1403,2014,70%,U.S.A.,3.5,Forastero,Ghana
Noble Bean aka Jerjobo,Ghana,1295,2014,75%,U.S.A.,3,Forastero,Ghana
Nuance,"Ghana, 2013",1454,2015,70%,U.S.A.,3.75,Forastero,Ghana
Olive and Sinclair,Ghana prototype,486,2010,72%,U.S.A.,3,Forastero,Ghana
Omanhene,Ghana,693,2011,80%,Ghana,2.75,Forastero,Ghana
Pralus,Ghana,40,2006,75%,France,3.25,Forastero,Ghana
Scharffen Berger,Asante,336,2009,65%,U.S.A.,4,Forastero,Ghana
Sjolinds,Ghana,1454,2015,70%,U.S.A.,2.75,Forastero,Ghana
Snake & Butterfly,Ghana,693,2011,67%,U.S.A.,1.5,Forastero,Ghana
Soma,Africa,377,2009,70%,Canada,3.5,Forastero,Ghana
TCHO,Chocolatey-beta,199,2008,70%,U.S.A.,2.5,Forastero,Ghana
Theo,"Ghana, Kumasi",184,2007,84%,U.S.A.,3,Forastero,Ghana
Valrhona,Nyangbo,395,2009,68%,France,3.5,Forastero,Ghana
Vanleer (Barry Callebaut),Manhattan,963,2012,72%,U.S.A.,2.5,Forastero,Ghana
Vanleer (Barry Callebaut),Napa,963,2012,65%,U.S.A.,2.75,Forastero,Ghana
Whittakers,Ghana,733,2011,72%,New Zealand,2.5,Forastero,Ghana
Jacque Torres,Trinatario Treasure,5,2006,71%,U.S.A.,2,Trinitario,Ghana
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada
Callebaut,Grenade,296,2008,60%,Belgium,2.75,Trinitario,Grenada
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada
Coppeneur,Grenada,470,2010,72%,Germany,3.25,Trinitario,Grenada
Dormouse,Non Pariel Estate,1880,2016,75%,U.K.,2.75,Trinitario,Grenada
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada
L.A. Burdick (Felchlin),Grenada,576,2010,75%,U.S.A.,3.25,Trinitario,Grenada
La Maison du Chocolat (Valrhona),Grenada,741,2011,68%,France,3.5,Trinitario,Grenada
Naive,Grenada,867,2012,71%,Lithuania,2.5,Trinitario,Grenada
Pump Street Bakery,"Crayfish Bay Estate, 2014",1502,2015,70%,U.K.,3.5,Trinitario,Grenada
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66%,U.K.,3.5,Trinitario,Grenada
Scharffen Berger,Camahogne,464,2010,68%,U.S.A.,3.5,Trinitario,Grenada
Soma,"Grenada, Black Science",676,2011,70%,Canada,2.75,Trinitario,Grenada
Danta,Las Acacias E.,987,2012,70%,Guatemala,4,Criollo,Guatemala
Danta,Las Acacias E.,423,2009,75%,Guatemala,3,Criollo,Guatemala
Danta,Las Acacias E.,423,2009,60%,Guatemala,3.25,Criollo,Guatemala
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4,Criollo,Guatemala
Soma,Cahabon Region,951,2012,70%,Canada,3.5,Trinitario,Guatemala
Terroir,Guatemala,1558,2015,70%,U.S.A.,3.75,Trinitario,Guatemala
Violet Sky,Cahabon,1502,2015,77%,U.S.A.,2.75,Trinitario,Guatemala
Madre,"Criollo, Hawaii",995,2012,70%,U.S.A.,3.25,Criollo,Hawaii
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",316,2009,60%,U.S.A.,3,Criollo,Hawaii
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras
Zotter,Kerala State,749,2011,65%,Austria,3.5,Forastero,India
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia
Middlebury,"Balinese, Java",887,2012,70%,U.S.A.,2.5,Criollo,Indonesia
Pierre Marcolini,"Kendem Lembu, Java",93,2006,72%,Belgium,3,Criollo,Indonesia
Pralus,"Java, Indonesie",32,2006,75%,France,3.5,Criollo,Indonesia
Soma,Java,1030,2013,70%,Canada,3.25,Criollo,Indonesia
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3,Trinitario,Jamaica
Coppeneur,Jamaica,558,2010,72%,Germany,3.25,Trinitario,Jamaica
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3,Trinitario,Jamaica
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica
Oakland Chocolate Co.,Jamaica,478,2010,70%,U.S.A.,2.5,Trinitario,Jamaica
Pralus,Jamaique,32,2006,75%,France,4,Trinitario,Jamaica
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75%,U.S.A.,3.75,Trinitario,Jamaica
Rogue,Jamaica,213,2008,70%,U.S.A.,2.75,Trinitario,Jamaica
Scharffen Berger,Jamaica a l'ancienne,56,2006,70%,U.S.A.,2,Trinitario,Jamaica
Shark Mountain,Jamaica,1450,2015,72%,U.S.A.,3.25,Trinitario,Jamaica
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,70%,Canada,4,Trinitario,Jamaica
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3.25,Criollo,Madagascar
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar
Felchlin,"Madagascar, Grand Cru",48,2006,64%,Switzerland,3,Criollo,Madagascar
Levy,Sambirano,1231,2014,71%,Finland,3.5,Criollo,Madagascar
Pralus,"Sambirano Valley, Le 100%",202,2008,100%,France,3,Criollo,Madagascar
Pralus,"Madagascar, Nosy Be Isle.",5,2006,75%,France,3.75,Criollo,Madagascar
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,74%,U.K.,3.5,Criollo,Madagascar
Soma,Madagascar,387,2009,70%,Canada,3.75,Criollo,Madagascar
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar
Guittard,"Sambirano, Ambanja",87,2006,65%,U.S.A.,3.5,Criollo,Madagascar
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar
Bright,Somia Plantation,1231,2014,72%,Australia,3,Trinitario,Madagascar
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar
Cacao Store,Madagascar,1684,2015,70%,Japan,3,Trinitario,Madagascar
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3,Trinitario,Madagascar
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3,Trinitario,Madagascar
Dandelion,Madagascar,654,2011,70%,U.S.A.,3.25,Trinitario,Madagascar
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar
Dark Forest,Madagascar,1550,2015,70%,U.S.A.,3,Trinitario,Madagascar
Dean and Deluca (Belcolade),Madagascar,170,2007,66%,U.S.A.,2.5,Trinitario,Madagascar
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3,Trinitario,Madagascar
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4,Trinitario,Madagascar
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3,Trinitario,Madagascar
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar
hexx,Madagascar,1546,2015,74%,U.S.A.,3,Trinitario,Madagascar
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3,Trinitario,Madagascar
Isidro,Madagascar,1275,2014,72%,U.S.A.,3.5,Trinitario,Madagascar
Jordis,Madagascar,1534,2015,63%,Czech Republic,2.75,Trinitario,Madagascar
Just Good Chocolate,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar
Kto,Sambirano Valley,1422,2014,72%,U.S.A.,3.25,Trinitario,Madagascar
Kyya,Madagascar,1363,2014,72.50%,U.S.A.,3,Trinitario,Madagascar
L.A. Burdick (Felchlin),Madagascar,431,2009,64%,U.S.A.,3.5,Trinitario,Madagascar
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,75%,France,2.75,Trinitario,Madagascar
Lilla,Madagascar,1856,2016,70%,Finland,3,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,63%,Madagascar,4,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,288,2008,75%,Madagascar,3.5,Trinitario,Madagascar
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75%,Madagascar,2.75,Trinitario,Madagascar
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar
Matale,"Somia, 2013",1177,2013,68%,Australia,4,Trinitario,Madagascar
Menakao (aka Cinagra),Madagascar,837,2012,80%,Madagascar,2.5,Trinitario,Madagascar
Menakao (aka Cinagra),Madagascar,841,2012,72%,Madagascar,2.5,Trinitario,Madagascar
Metiisto,Akesson Estate,1267,2014,72%,Sweden,3.5,Trinitario,Madagascar
Michel Cluizel,Mangaro P.,24,2006,65%,France,4,Trinitario,Madagascar
Nathan Miller,Madagascar,1403,2014,73.50%,U.S.A.,2.5,Trinitario,Madagascar
Nibble,"Ambanja, Sambirano Valley",1526,2015,72%,U.S.A.,3,Trinitario,Madagascar
Nuance,"Sambirano Valley, 2012",1458,2015,70%,U.S.A.,3.5,Trinitario,Madagascar
Omnom,Madagascar,1247,2014,66%,Iceland,3.5,Trinitario,Madagascar
Palette de Bine,Sambirano,1239,2014,78%,Canada,3.75,Trinitario,Madagascar
Patric,Madagascar,331,2009,75%,U.S.A.,4,Trinitario,Madagascar
Patric,Madagascar,439,2009,67%,U.S.A.,3.5,Trinitario,Madagascar
Patric,Madagascar,196,2007,70%,U.S.A.,4,Trinitario,Madagascar
Paul Young,"Madagascar, w/ shell",1271,2014,73%,U.K.,2.25,Trinitario,Madagascar
Paul Young,"Madagascar, w/ shell",1271,2014,64%,U.K.,2.75,Trinitario,Madagascar
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,72%,Belgium,4,Trinitario,Madagascar
Pitch Dark,Akesson Estate,1311,2014,73%,U.S.A.,3.25,Trinitario,Madagascar
Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja",1223,2014,72%,U.K.,3.25,Trinitario,Madagascar
Raaka,Madagascar,959,2012,75%,U.S.A.,3.25,Trinitario,Madagascar
Ritual,Sambirano,891,2012,75%,U.S.A.,4,Trinitario,Madagascar
Robert (aka Chocolaterie Robert),Madagascar,1061,2013,75%,Madagascar,3.25,Trinitario,Madagascar
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,68%,Madagascar,3.25,Trinitario,Madagascar
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70%,U.S.A.,3.5,Trinitario,Madagascar
